id,group,round,start_time,target_time,start_node,target_node,start_point,target_point,call_time_TimeMachine,path_TimeMachine,path_time_TimeMachine,cur_time,cur_node,cur_point,call_time_LastAPI,call_node_LastAPI,call_point_LastAPI,path_LastAPI,path_time_LastAPI,req_leaving_time,weather,event,action,reward,remain_time_from_TimeMachine,oracle,episode
240922_183055_00000010,history,17,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 03:16,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,9,4525,0
240922_183055_00000010,history,18,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 03:19,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,6,4525,0
240922_183055_00000010,history,19,Thu. 02:25,Thu. 04:16,13,19,[0.52526004 0.23065182],[0.20445225 0.69440016],Thu. 03:16,"[13, 17, 19]",50.45927971841356,Thu. 03:22,13,"(0.5252600371013733, 0.23065182161974151)",,,,,,Thu. 03:25,,register_schedule,,,3,4525,0
240922_183055_00000011,history,0,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 09:23,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,60,3504,1
240922_183055_00000011,history,1,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 09:26,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,57,3504,1
240922_183055_00000011,history,2,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 09:29,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,54,3504,1
240922_183055_00000011,history,3,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 09:32,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,51,3504,1
240922_183055_00000011,history,4,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 09:35,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,48,3504,1
240922_183055_00000011,history,5,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 09:38,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,45,3504,1
240922_183055_00000011,history,6,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 09:41,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,42,3504,1
240922_183055_00000011,history,7,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 09:44,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,39,3504,1
240922_183055_00000011,history,8,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 09:47,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,36,3504,1
240922_183055_00000011,history,9,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 09:50,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,33,3504,1
240922_183055_00000011,history,10,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 09:53,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,30,3504,1
240922_183055_00000011,history,11,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 09:56,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,27,3504,1
240922_183055_00000011,history,12,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 09:59,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,24,3504,1
240922_183055_00000011,history,13,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 10:02,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,21,3504,1
240922_183055_00000011,history,14,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 10:05,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,18,3504,1
240922_183055_00000011,history,15,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 10:08,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,15,3504,1
240922_183055_00000011,history,16,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 10:11,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,12,3504,1
240922_183055_00000011,history,17,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 10:14,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,9,3504,1
240922_183055_00000011,history,18,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 10:17,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,6,3504,1
240922_183055_00000011,history,19,Wed. 09:23,Wed. 10:30,17,20,[0.01828828 0.6634415 ],[0.0706075  0.74797998],Wed. 10:24,"[17, 20]",6.295105294398692,Wed. 10:20,17,"(0.018288277344191806, 0.6634414978184481)",,,,,,Wed. 10:23,,register_schedule,,,3,3504,1
240922_183055_00000012,history,0,Sun. 06:49,Sun. 09:39,23,1,[0.55868983 0.51488911],[0.1251612  0.11993555],Sun. 07:47,"[23, 49, 1]",109.46288236856935,Sun. 06:49,23,"(0.5586898284457517, 0.5148891120583086)",,,,,,Sun. 07:49,,register_schedule,,,60,9099,2
240922_183055_00000012,history,1,Sun. 06:49,Sun. 09:39,23,1,[0.55868983 0.51488911],[0.1251612  0.11993555],Sun. 07:47,"[23, 49, 1]",109.46288236856935,Sun. 06:52,23,"(0.5586898284457517, 0.5148891120583086)",,,,,,Sun. 07:49,,register_schedule,,,57,9099,2
240922_183055_00000012,history,2,Sun. 06:49,Sun. 09:39,23,1,[0.55868983 0.51488911],[0.1251612  0.11993555],Sun. 07:47,"[23, 49, 1]",109.46288236856935,Sun. 06:55,23,"(0.5586898284457517, 0.5148891120583086)",,,,,,Sun. 07:49,,register_schedule,,,54,9099,2
240922_183055_00000012,history,3,Sun. 06:49,Sun. 09:39,23,1,[0.55868983 0.51488911],[0.1251612  0.11993555],Sun. 07:47,"[23, 49, 1]",109.46288236856935,Sun. 06:58,23,"(0.5586898284457517, 0.5148891120583086)",,,,,,Sun. 07:49,,register_schedule,,,51,9099,2
240922_183055_00000012,history,4,Sun. 06:49,Sun. 09:39,23,1,[0.55868983 0.51488911],[0.1251612  0.11993555],Sun. 07:47,"[23, 49, 1]",109.46288236856935,Sun. 07:01,23,"(0.5586898284457517, 0.5148891120583086)",,,,,,Sun. 07:49,,register_schedule,,,48,9099,2
240922_183055_00000012,history,5,Sun. 06:49,Sun. 09:39,23,1,[0.55868983 0.51488911],[0.1251612  0.11993555],Sun. 07:47,"[23, 49, 1]",109.46288236856935,Sun. 07:04,23,"(0.5586898284457517, 0.5148891120583086)",,,,,,Sun. 07:49,,register_schedule,,,45,9099,2
240922_183055_00000012,history,6,Sun. 06:49,Sun. 09:39,23,1,[0.55868983 0.51488911],[0.1251612  0.11993555],Sun. 07:47,"[23, 49, 1]",109.46288236856935,Sun. 07:07,23,"(0.5586898284457517, 0.5148891120583086)",,,,,,Sun. 07:49,,register_schedule,,,42,9099,2
240922_183055_00000012,history,7,Sun. 06:49,Sun. 09:39,23,1,[0.55868983 0.51488911],[0.1251612  0.11993555],Sun. 07:47,"[23, 49, 1]",109.46288236856935,Sun. 07:10,23,"(0.5586898284457517, 0.5148891120583086)",,,,,,Sun. 07:49,,register_schedule,,,39,9099,2
240922_183055_00000012,history,8,Sun. 06:49,Sun. 09:39,23,1,[0.55868983 0.51488911],[0.1251612  0.11993555],Sun. 07:47,"[23, 49, 1]",109.46288236856935,Sun. 07:13,23,"(0.5586898284457517, 0.5148891120583086)",,,,,,Sun. 07:49,,register_schedule,,,36,9099,2
