refinedTimemachine,oracle,TimeMachineResult,target_8
1515.6559978974226,1515,1540.9207941223444,1540.2647962249218
6878.598002755058,6868,6994.639334610362,6986.325387753164
8408.18389325942,8406,8444.353989577552,8442.412482792372
3643.0166831751717,3644,3702.1635744200503,3703.0856512161754
9114.361757630917,9117,9213.448991611456,9216.001659137952
8800.387661424786,8801,8808.649529344146,8809.265701357948
7233.086199962198,7232,7274.554250451092,7273.475516889926
7205.755275679103,7209,7255.301491140686,7258.55924862117
2491.4035229303854,2492,2626.4431090397684,2627.172926574301
1828.9277425993378,1828,1951.4225394013583,1950.4947968020206
1129.3368152611724,1117,1255.956985665225,1247.0961540229418
91.57612300763223,92,131.94553863486033,132.386209949437
6539.322048525131,6540,6596.565899654595,6597.315631859908
6391.090732902008,6398,6462.356783320074,6469.179580847057
532.8344272906888,524,651.5752804830211,643.3926825417113
8999.537863286047,9000,9054.372025173316,9055.106707289233
8444.692496549178,8447,8489.363148167507,8491.003315593909
7182.273916569102,7184,7245.302956221639,7246.957160244477
2400.8027394328815,2401,2446.515234655671,2446.9500845065068
6683.3421604576815,6681,6791.130325872391,6788.608844543897
8739.997160326666,8751,8794.345931712442,8805.267018930834
8555.599033522452,8554,8573.973877999762,8572.384964242608
7198.768605786319,7200,7219.285440523802,7220.52723052431
1174.1884118313853,1175,1218.1440219100923,1218.8090908781805
1970.6025804224669,1967,2067.1042773056156,2063.6924625716956
175.44311921422354,176,207.90009005619947,208.46753267564205
6497.949640989166,6497,6561.765463067735,6560.815822078569
3311.222946527386,3316,3407.6891323052855,3410.9711928323204
3691.046524362106,3688,3764.3264115686275,3761.99852899626
4017.4067061538162,4010,4111.816302105563,4106.499830906303
183.9086247163574,184,237.81123502943223,237.971645041648
251.57227745966034,246,319.10078118138966,311.7215364463978
4358.323815844366,4359,4400.815613630698,4401.5024673094
2520.4968363031944,2519,2624.4044340732153,2622.871788831543
3338.156246329442,3340,3396.3621892395763,3397.9719471264098
3799.674022690454,3794,3893.171314359295,3887.2662074164064
6060.31855202798,6051,6145.090116578885,6132.874289788321
2040.6092179108625,2043,2128.764826780266,2130.952387321632
939.8965440134314,940,963.9747729812359,964.1174911004942
1940.0980240539297,1942,1999.999347355969,2001.825543137766
